id,Scientific Name,Water Consuption,Environmental Conditions,uses
Sunflower,Helianthus annus,"The water requirements of sunflower vary from 600 to 1000mm, depending on climate and length of total growing period. Evapotranspiration increases from establishment to flowering, and can be as high as 12 to 15 mm/day.","Sunflower grows well on neutral to moderately alkaline soils, with a range of pH 6.5 – 8.0, but dislikes acid conditions. Wild varieties are tolerant of poor drainage but cultivated varieties are unsuited to such conditions, which increase susceptibility to fungal disease and lodging from lack of support.","The leaves are used as fodder, the flowers yield a yellow dye, and the seeds contain oil and are used for food. The sweet yellow oil obtained by compression of the seeds is considered equal to olive or almond oil for table use. Sunflower oil cake is used for stock and poultry feeding"
Sedum purple,Hylotelephium telephium,water sedum whenever the top 2 inches of soil are dry. Aim for the base of each plant and thoroughly soak the soil.,"Light: Sedum (or 'stone crop flower') do best in full to part sun. While taller hybrids need full sun to flower their best, creeping types will grow fine in part shade. Soil: Sedums like a very well-drained soil with a neutral to slightly alkaline pH. Wet, heavy clay can lead to root and stem rot.",The most widespread and popular use of Sedum is to treat pain and inflammation. Current research is aimed at revealing its anti-inflammatory and anti-nociceptive mechanism of action.
Red clover,Trifolium pratense,30cm3 deionised water per day,"Generally, red clover thrives in cool, moist climates, but its deep roots allow it to thrive in drought conditions better than other clover varieties.","Historically, red clover was used for asthma, whooping cough, cancer, and gout. Today, extracts from red clover are most often promoted for menopause symptoms, high cholesterol levels, or osteoporosis."
Red rose,Rosa,2 inches of water per week(4 to 5 gallons),"The ideal climate for rose growing should have temperature with a minimum of 15°C and maximum of 28°C. Light is important factor which decides the growth. The growth is slowed by day length, i.e. > 12 hours and heavy overcast, cloudy/mist conditions. High relative humidity exposes the plant to serious fungal diseases.","This plant is also used as a gentle laxative (16). Rose oil heals depression, grief, nervous stress and tension. It helps in the reduction of thirst, healing old caugh, special complaints of women, wound healing, and skin health. Vapor therapy of rose oil is helpful for some allergies, headaches, and migraine"
Red hot poker,Kniphofia,"Provide red hot poker plants with 1 inch of water every week during hot summers. Make sure the water saturates the soil 5 to 6 inches deep each time, but let the soil dry out between waterings.","Grows in deep, fertile, humus-rich, moist but well- drained, preferably sandy soil. They prefer full sun but will tolerate partial shade.",":Red in colour, it rises like a torch on the bushy foliage leaves, as the name suggests. Their nectar is drinkable and is used for creams and ointments. Red hot poker is popular with bees and butterflies as well because of this nectar. Important to note is their limited winter hardiness."
lotus,Nelumbo nucifera,"Set the container in the pond so that the top of the soil is two to four inches under water. Taller varieties of lotus can grow in water up to 18 inches or deeper, while dwarf varieties do best in water two to 12 inches deep.","While damp habitats offer ideal growing conditions for lotus flowers, they can also tolerate hot sun and high temperatures. Their root system can easily adapt to different types of soils, though they grow best in clay loams. These are soils that contain a mixture of clay, sand, and silt.","People use lotus for bleeding, cough, fever, liver and stomach problems, and other conditions, but there is no scientific evidence to support these uses. In Asia, various parts of the lotus plant are commonly used for cooking, baking, and adding flavor to beverages."
Hibiscus flower,Hibiscus,"In the flowering stage, the hibiscus requires more water. During summers as well, it needs a fair bit of watering but not too much so as to drown the plant.","Hibiscus plants do best in areas with full sun and regular amounts of water. They can be found in landscapes, containers, hanging baskets, raised beds, or as houseplants. Provide good drainage. Prune out old wood.","Hibiscus is used for treating loss of appetite, colds, heart and nerve diseases, upper respiratory tract pain and swelling (inflammation), fluid retention, stomach irritation, and disorders of circulation; for dissolving phlegm; as a gentle laxative; and as a diuretic to increase urine output"
Jasmine flower,Jasminum,"Jasmine flowers that are in-ground should be watered once a week. If it is unusually dry or hot, increase the frequency, but let the soil dry out in between. If your jasmine is in a container, it will likely require water multiple times each week, especially in the hotter months.","Jasmine prefers mild and tropical climate. Jasmine is commercially grown in India under open field conditions. The ideal requirements for successful cultivation of jasmine are mild winter, warm summer, moderate rainfall and sunny days.","Jasmine is inhaled to improve mood, reduce stress, and reduce food cravings. In foods, jasmine is used to flavor beverages, frozen dairy desserts, candy, baked goods, gelatins, and puddings. In manufacturing, jasmine is used to add fragrance to creams, lotions, and perfumes."
Datura flower,Datura stramonium,Watered once a week,"Datura growing wild in Southern California. The greatest diversity of species occurs in Central America and Mexico, suggesting this as the origin of the genus, but there is ample evidence that these plants were used culturally both in the New World and in Asia as sacred plants for many millennia","The seeds of Datura are analgesic, anthelmintic and anti-inflammatory and as such, they are used in the treatment of stomach and intestinal pain that results from worm infestation, toothache, and fever from inflammation. The juice of its fruit is applied to the scalp, to treat dandruff and falling hair"
Mushroom,Agaricus bisporas,A pound of mushrooms only requires only 1.8 gallons of water,"Moisture is crucial for mushroom growth both in the substrate and the surrounding environment. During the fruiting stage, your oyster mushrooms need relative humidity levels of 80 – 95%. High humidity is especially important during pinning because if baby mushroom pins completely dry out, they stop growing","Mushrooms are a rich, low calorie source of fiber, protein, and antioxidants. They may also mitigate the risk of developing serious health conditions, such as Alzheimer's, heart disease, cancer, and diabetes."
